Fecha,1/1/2010,1/4/2010,1/7/2010,1/10/2010,1/1/2011,1/4/2011,1/7/2011,1/10/2011,1/1/2015,1/4/2015,1/7/2015,1/10/2015,1/1/2016,1/4/2016,1/7/2016,1/10/2016,1/1/2020,1/4/2020,1/7/2020,1/10/2020,1/1/2021,1/4/2021,1/7/2021,1/10/2021
Aguascalientes,67.4965,79.1047,75.6273,71.6935,69.0867,79.407,81.4962,76.3324,80.557,88.2038,92.4914,86.9748,89.8222,100.2131,103.667,102.2457,127.7942,135.2717,134.8497,141.9874,140.3132,177.7184,184.1871,194.4407
Baja California,77.084,91.6085,92.4289,86.8352,89.2406,101.6637,107.1542,98.6943,152.9863,173.9016,182.6473,168.0687,169.1695,182.4093,177.0723,169.5472,264.1163,334.7347,332.6868,303.3563,301.1542,360.3484,372.2098,364.6711
Baja California Sur,8.6622,8.5464,8.2586,8.2783,8.1083,9.3589,9.9774,9.2063,11.5517,12.9243,13.3937,13.3264,12.906,14.2835,14.868,13.3286,22.2964,24.9397,34.8488,29.4685,29.323,34.4999,34.8623,35.1321
Campeche,13.0847,14.7972,14.3003,12.8732,12.8965,15.5239,15.8585,13.5367,12.8828,14.9061,14.904,13.8545,14.2744,16.7256,17.1889,16.9547,23.914,25.4014,35.3475,30.555,29.3031,37.3885,40.3355,40.4757
Coahuila,58.0532,60.9197,59.2913,55.7454,55.2152,64.9791,64.8179,61.957,92.0097,112.7057,100.784,95.4153,93.4326,106.6916,108.0361,111.9405,160.5944,183.239,182.5131,184.8591,183.5633,228.9021,244.2344,247.6623
Colima,40.8939,44.8843,43.642,42.0981,44.0247,46.2423,47.8114,45.7439,57.3344,61.4248,55.8572,54.0285,56.1058,61.6094,63.8859,70.5548,83.2237,86.6159,85.7324,92.6577,95.733,109.5848,111.3446,118.2486
Chiapas,122.4091,163.9379,157.4884,130.62,131.1926,168.3967,161.9014,133.3374,127.4033,135.4065,160.027,153.9332,145.8517,144.8183,143.7785,142.1463,250.5272,255.6334,317.5258,319.1377,345.4644,444.284,533.9756,570.0446
Chihuahua,97.8417,105.8899,100.2682,93.842,97.4327,109.3475,109.5461,102.9709,141.7042,177.7646,172.8966,160.4097,163.8925,183.3595,184.9891,173.1972,285.0273,349.1137,335.8234,308.7654,338.5255,412.6818,433.1545,404.0819
Ciudad de México,224.2872,267.1901,262.1296,245.6721,250.7445,297.9777,311.5597,291.6427,252.3952,266.9578,269.6135,284.3088,314.0065,359.0052,370.8367,365.4528,480.1652,498.4112,584.5409,578.3983,610.1813,715.8643,787.3119,830.0049
Durango,84.4473,103.7767,97.7085,93.17,93.266,110.6457,111.0496,101.6582,117.1409,196.5377,145.8666,133.918,128.5103,154.9773,163.9028,156.5759,214.7269,240.8553,246.2668,253.3996,246.082,323.0532,334.607,340.0679
Estado de México,384.4495,446.127,424.4336,382.54,374.0619,446.5075,448.375,389.4311,369.4966,397.8039,405.7588,386.2712,380.2463,416.0994,399.2367,411.3639,540.7642,531.9255,692.7393,650.2149,628.8026,783.5919,847.677,885.8954
Guanajuato,432.7083,555.4349,525.4313,467.7576,473.4079,581.9586,586.8589,513.561,509.2074,540.9624,612.6407,555.652,550.7371,628.0464,625.5936,607.7674,822.3762,917.2354,847.8681,881.2511,860.4866,1096.9318,1142.4541,1208.8899
Guerrero,277.8127,337.0437,302.8649,283.7603,294.2487,342.1935,329.2488,296.6662,285.092,338.5628,329.6718,323.3599,333.3327,359.7286,329.3159,347.7921,472.5111,452.0717,485.1573,532.1243,540.7533,660.2454,677.5687,742.9989
Hidalgo,155.0171,202.8274,192.7422,164.925,160.713,208.5627,213.2398,180.1462,180.902,182.7953,192.6684,171.329,166.5018,201.3261,201.0946,194.824,232.7981,249.9561,277.1654,263.0243,253.3405,325.3265,352.1595,365.8581
Jalisco,413.4921,470.3065,444.3774,427.3934,438.0735,486.7138,504.2452,466.7539,539.3932,505.4824,577.65,551.5886,587.3121,651.8037,636.1883,645.498,989.6766,1043.2132,1038.7072,1081.595,1166.8543,1325.7617,1333.4023,1410.1207
Michoacán,496.9437,585.3163,549.6632,512.5789,517.7296,584.8513,590.787,551.6884,602.9751,585.7803,660.3542,638.5099,643.1071,702.6053,682.2493,717.467,963.2352,1009.0328,995.8123,1087.6015,1047.6394,1273.0283,1290.2411,1374.0136
Morelos,131.402,150.5298,141.4435,131.4844,134.1881,156.8732,156.4467,139.3072,127.7855,164.9286,143.0962,137.8687,138.6548,151.5423,144.4786,146.8549,178.3393,174.198,196.7199,207.6418,201.8914,252.7726,274.4465,278.1202
Nayarit,74.5696,88.5654,89.8966,84.3659,80.6943,89.945,98.2571,87.4593,88.6991,89.4095,112.556,101.7662,95.316,110.7152,118.0538,113.2801,148.8044,162.1382,178.9731,182.8545,178.4192,220.6817,223.286,231.8443
Nuevo León,67.0188,75.0238,72.3992,69.5411,67.9952,81.4405,82.3149,77.1726,148.3241,170.7373,169.3985,160.1616,158.1854,166.9308,158.8292,172.0127,232.6416,247.2289,275.234,269.3184,262.3616,335.7915,358.5489,358.2833
Oaxaca,281.1539,362.3867,350.2263,302.772,300.9076,378.2811,404.243,343.9532,307.5909,301.8868,344.0706,309.4014,324.6495,361.7344,361.745,372.0665,484.2797,419.5818,502.4512,491.2529,496.0508,600.155,633.7243,675.265
Puebla,302.6101,374.2941,362.2044,332.1136,331.7859,394.7723,395.5674,347.5139,319.8477,319.0819,357.3936,339.2558,340.1755,376.9058,368.5921,373.8324,440.9793,405.3347,538.5203,488.0359,438.0807,526.5594,564.4587,609.3713
Querétaro,74.9706,101.731,96.0891,81.7424,79.2148,105.4633,107.0604,91.5576,99.9097,117.455,128.203,114.2923,111.1331,138.4207,139.3053,136.2641,178.1108,195.5251,217.6314,210.9081,193.6004,254.5462,287.4608,277.1261
Quintana Roo,19.095,23.1579,22.7931,21.758,20.6533,24.1985,24.9682,22.2556,27.1844,32.5642,31.1686,29.9752,29.3125,32.1952,33.6335,34.5874,44.4784,43.0546,88.1762,63.7927,65.2821,79.6833,81.0381,84.6256
San Luis Potosí,136.9676,171.6194,166.8738,154.0093,144.9982,190.2209,191.3702,174.207,179.7582,214.8015,236.4619,216.4019,206.5435,247.0238,255.2066,252.0547,326.207,367.9987,360.913,370.0801,338.6754,442.4094,458.3263,482.4633
Sinaloa,110.9438,125.6836,117.0117,116.5805,118.1399,134.1303,133.8296,125.7215,129.915,135.4496,134.4361,129.1246,137.184,147.025,165.7727,172.6891,238.8584,276.2079,260.3312,263.995,267.1406,302.035,294.6708,298.1992
Sonora,67.8625,76.2862,72.2103,75.6607,82.3034,86.5791,81.6954,76.3377,85.1597,123.7923,95.3014,94.7861,99.5117,113.0398,101.7854,98.8292,154.8999,183.7527,189.5668,179.7736,185.2031,226.1289,225.0426,229.6744
Tabasco,25.7252,31.085,29.075,25.4575,25.4771,30.7569,29.7844,25.7101,28.4479,84.8113,34.1979,33.6508,32.3373,40.1485,39.8209,41.868,59.0307,56.2194,86.5798,77.6601,86.5801,108.5302,119.7703,115.3021
Tamaulipas,87.9904,112.806,104.6083,96.8922,95.1302,119.6336,120.5552,109.9808,142.7201,185.8193,180.1627,167.9256,147.7233,172.9974,168.0992,164.7461,205.6261,238.4113,260.6096,239.9046,235.3452,295.0993,304.8163,293.5066
Tlaxcala,52.0879,69.9081,73.9488,62.5753,57.3454,72.922,80.313,63.9656,48.4601,130.2564,63.8779,54.5097,49.2795,59.9378,65.4381,58.516,53.6448,55.0363,70.7083,64.7993,59.1665,78.8338,90.6578,88.4759
Veracruz,280.9259,346.9656,324.0038,285.5419,291.7779,353.3386,339.6058,288.3641,249.183,264.9429,285.9105,261.4512,259.9767,294.4425,283.4936,286.0538,368.2978,378.6018,448.2654,419.0197,401.3375,506.9472,557.3512,569.0097
Yucatán,27.3113,29.4348,29.1213,26.8253,27.47,30.8103,31.25,28.2787,32.4857,39.5789,35.0306,32.9391,32.7958,36.6573,36.9965,36.3434,58.3251,45.4005,74.3865,65.5741,66.1321,83.3338,90.2214,95.4266
Zacatecas,136.8111,158.6751,148.5753,137.6504,142.615,168.0181,165.3853,149.4344,175.1145,185.62,204.6756,190.275,193.862,228.4065,228.8298,226.9685,291.3003,305.5302,299.3661,306.0885,322.6596,408.9089,419.1585,424.8621
Total,4832.1289,5835.8636,5551.1361,5084.7532,5110.1385,6071.7138,6136.5736,5484.5456,5723.6171,6353.2556,6543.1662,6164.7337,6205.8493,6961.8252,6891.9842,6933.6228,9397.5705,9891.8708,10676.0174,10639.0953,10615.4462,13031.6271,13702.7038,14244.162
